"user_1","user_6","user_7","user_15","user_17","user_18","user_19","user_21","user_28","user_39","user_42","user_45","user_57","user_58","user_62","user_63","user_64","user_66","user_68","user_72","user_82","user_84","user_86","user_91","user_96","user_103","user_105","user_109","user_112","user_115","user_117","user_122","user_132","user_135","user_137","user_140","user_141","user_144","user_156","user_160","user_166","user_167","user_177","user_178","user_179","user_182","user_186","user_187","user_195","user_198","user_199","user_200","user_201","user_202","user_212","user_217","user_219","user_220","user_226","user_230","user_232","user_233","user_239","user_247","user_249","user_254","user_263","user_266","user_274","user_275","user_279","user_282","user_288","user_292","user_298","user_304","user_305","user_307","user_308","user_313","user_314","user_317","user_318","user_322","user_328","user_330","user_332","user_334","user_339","user_352","user_354","user_357","user_362","user_368","user_370","user_372","user_376","user_380","user_381","user_382","user_385","user_387","user_391","user_399","user_414","user_415","user_425","user_428","user_432","user_434","user_438","user_448","user_452","user_453","user_462","user_464","user_469","user_470","user_474","user_477","user_480","user_483","user_489","user_514","user_517","user_522","user_524","user_525","user_534","user_551","user_555","user_559","user_560","user_561","user_562","user_570","user_573","user_577","user_580","user_586","user_590","user_593","user_594","user_596","user_597","user_599","user_600","user_602","user_603","user_606","user_607","user_608","user_610"
"Silence of the Lambs, The (1991)",4,4,5,NA,4.5,4.5,NA,NA,2.5,5,5,4,5,NA,5,NA,5,4,3.5,4.5,NA,5,NA,4.5,NA,5,4.5,4,4,5,5,5,3.5,5,4,4,NA,4.5,4,2,4,2.5,5,4.5,4,4.5,5,4,NA,4,4,NA,5,5,3.5,NA,4.5,NA,NA,3,NA,4.5,3.5,4,4,4,5,NA,4,5,4,4,5,3,NA,4,5,4.5,NA,5,3,5,4,NA,NA,5,4.5,NA,5,4,4,4.5,5,4,4,4,NA,5,NA,5,3,4,3,4.5,4,5,4,2.5,4,4,NA,5,NA,4,3.5,5,4,NA,4.5,5,4.5,NA,4,5,3,NA,4,3.5,4,4.5,5,NA,4,4,5,NA,4.5,4,4.5,NA,3.5,4,5,4,NA,3,4,5,5,4.5,5,4,4.5
"Sixth Sense, The (1999)",NA,NA,4.5,3,4,4.5,4,0.5,3,5,NA,5,5,NA,4.5,NA,4.5,5,2.5,NA,NA,NA,4,4,NA,NA,4.5,NA,NA,3,NA,5,NA,3,4.5,NA,NA,4,NA,5,4,3,NA,NA,NA,4,NA,NA,5,1,4,NA,5,5,NA,4,2,5,NA,2.5,5,3.5,NA,4.5,4,5,NA,NA,4,NA,NA,4.5,3,4,NA,2,4,2.5,0.5,4,NA,2,NA,4,2,4,4.5,4,4.5,4,3.5,5,NA,4,4.5,NA,4,5,5,NA,NA,2.5,2,4.5,3,4,3.5,3.5,4,5,4,4,5,4,2.5,5,5,NA,5,4,4,3.5,3,4,NA,NA,NA,NA,4,4,4,NA,4,4,4,4,4,NA,4.5,3,3.5,NA,4,4,5,3.5,3.5,NA,5,4,5,4.5,4.5
"Speed (1994)",NA,5,NA,NA,NA,2.5,4,NA,1.5,NA,NA,NA,2,5,NA,2.5,3,NA,5,3.5,NA,4,NA,3,5,NA,NA,3,NA,NA,3,NA,NA,4,NA,4,NA,3.5,NA,3,3,NA,3,3.5,5,2.5,4,2,4,NA,2,4,NA,3,NA,NA,3.5,3.5,2.5,3,3.5,NA,NA,NA,4,NA,3,2,3.5,NA,3.5,3.5,3,3.5,NA,3,4,1,NA,2,3,NA,3.5,NA,NA,0.5,3.5,3,NA,NA,4,NA,NA,3,NA,5,NA,5,4,NA,NA,NA,2,NA,4,3.5,3.5,2.5,NA,NA,4,4,4,4,1,4,NA,4,4,3,3.5,1.5,3.5,NA,3,NA,5,3.5,NA,4,NA,4,4,3.5,NA,3.5,5,3,NA,NA,3,2.5,4.5,NA,4,3,2,4,5,NA,5,2.5,5
"Star Wars: Episode IV - A New Hope (1977)",5,NA,5,5,5,4,4,4.5,4,5,5,5,5,NA,4.5,5,3.5,2.5,5,5,3.5,4,4.5,4.5,5,4,4,NA,5,5,NA,5,2,4,4,4,4,NA,1,5,4.5,4,2.5,NA,NA,3.5,4,4,4,5,4,5,5,4,2.5,5,5,5,4.5,NA,4.5,NA,5,4,5,4,NA,4,3,4,5,4,5,4,4,5,5,3.5,2.5,3,5,4,3,NA,5,4,NA,4,NA,4,4,4,4.5,4,2,4,4,5,3.5,5,4,4.5,5,5,5,4,3,3.5,3.5,5,5,5,5,4,4,5,4,NA,4,4.5,4.5,4.5,NA,5,3.5,5,5,4,4.5,3.5,5,5,4,4.5,NA,3.5,5,5,4,4.5,5,5,NA,4,5,5,4,5,4,4.5,3,3.5,5
"Star Wars: Episode V - The Empire Strikes Back (1980)",5,NA,4,5,5,4,4,4.5,4,5,3,5,4,NA,4.5,5,3.5,4,5,4.5,4,4,4,4.5,NA,4.5,NA,NA,5,5,NA,5,2,4,4,3,3,NA,NA,4,4.5,4.5,3,NA,NA,3,5,4,4,5,3.5,5,5,5,3.5,5,4.5,5,5,NA,4.5,NA,5,4.5,5,4,4,5,4.5,NA,5,NA,4.5,4,4,5,5,3,2.5,4,NA,NA,3,NA,5,5,4.5,4,NA,4,4,4.5,4.5,3,2.5,4,4,5,3.5,5,5,4.5,5,5,5,NA,3,3.5,3.5,5,5,5,5,4,2.5,5,5,NA,5,5,5,4.5,NA,5,NA,4.5,5,4.5,4.5,NA,5,NA,4,5,3,4,5,3,4,4.5,5,5,NA,3.5,5,5,4,NA,3,4.5,3,4,5
"Star Wars: Episode VI - Return of the Jedi (1983)",5,NA,4,5,5,4.5,3,4.5,4,5,5,5,4,NA,4.5,4.5,3.5,3,5,4.5,4,4,4,4,5,3.5,NA,NA,5,NA,NA,5,2,4,3,3.5,4.5,NA,NA,5,5,4,3,NA,NA,2.5,5,4,4,5,2,5,5,3,3.5,5,4,4.5,5,NA,5,NA,5,3.5,4.5,4,4,3,4,4,4.5,NA,4.5,4,4.5,5,5,3,NA,3,NA,NA,4,NA,4,5,3.5,3.5,NA,NA,4,4,NA,4,2,5,4.5,5,3.5,4.5,4,4,4,5,5,NA,3,3.5,3.5,4.5,5,5,4,3,1,5,3,NA,4,4.5,3.5,4.5,NA,4,2,4,3,4,4.5,3.5,5,4,4,4.5,NA,4,5,4,4,4.5,4.5,4.5,4,4,5,5,4.5,NA,3,4.5,3,4,5
"Terminator 2: Judgment Day (1991)",NA,3,2.5,5,4.5,4.5,5,3.5,4.5,4,NA,5,4,4,NA,4,4,4,3.5,4.5,4.5,NA,NA,4,5,NA,4,3,NA,5,4,5,NA,4,3.5,NA,NA,2,NA,5,NA,NA,NA,4,5,2,5,NA,3,3,3.5,NA,5,5,4,3,4.5,5,4,0.5,4,NA,3.5,3.5,4,4,NA,4,4.5,NA,4,4.5,4,4,4,5,5,2.5,1,5,5,4,NA,NA,1,3.5,3.5,4,NA,NA,4.5,3.5,4,3,4,4,5,5,2.5,NA,5,3.5,4,2.5,5,NA,3.5,2.5,3.5,4.5,5,3,5,5,2.5,5,4,5,4,5,4.5,4,3.5,4,NA,NA,5,NA,NA,4,5,4,3,4,4.5,4,5,NA,4,5,4.5,NA,5,3,5,4.5,3,5,NA,3.5,4,3,5
"Toy Story (1995)",4,NA,4.5,2.5,4.5,3.5,4,3.5,NA,NA,NA,4,5,NA,NA,5,4,4,2.5,NA,2.5,NA,4,4,5,4,NA,NA,3,NA,NA,NA,2,4,4,3,4,3.5,4,4,5,3.5,5,4,4,4,4,NA,NA,NA,NA,3.5,5,4,NA,4,3.5,5,3.5,NA,3.5,3,4,5,4,4.5,4,2,4,5,3,4.5,4.5,4,2,5,NA,4,NA,NA,3,NA,NA,3.5,5,4,4,3.5,4,NA,NA,5,NA,NA,NA,3,NA,5,3.5,4.5,4,NA,3,4,4,NA,NA,NA,2.5,4,4.5,5,NA,5,1.5,NA,4,4,4,4,3,4,NA,4,4,3,4,4,4,NA,4,5,3,4,4.5,4,5,NA,3,NA,4,NA,NA,4,4,3,2.5,NA,4,2.5,4,2.5,5
"True Lies (1994)",NA,4,3,NA,NA,2.5,3,NA,NA,NA,3,4,4,3,NA,NA,NA,3.5,3.5,NA,4,3,NA,3.5,3,NA,NA,3,NA,1,4,NA,NA,3,NA,4,NA,3,NA,NA,NA,NA,3,4,4,3,4,2,NA,NA,3,NA,4,NA,NA,2,3,4.5,NA,3,NA,NA,3.5,NA,4,2.5,4,NA,4,NA,NA,NA,3,4,NA,4,3,NA,NA,5,2,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,3,4,5,3.5,5,3.5,NA,3,2,2,NA,4,NA,2.5,2,NA,2.5,5,3,5,4,NA,3,4,5,4,NA,2.5,4,3.5,NA,NA,NA,4,4.5,NA,NA,4,3,4,3.5,NA,3.5,4.5,4,NA,4.5,3,NA,4.5,NA,2,3,3,3,2,NA,4,3,5
"Twelve Monkeys (a.k.a. 12 Monkeys) (1995)",NA,4,NA,NA,NA,4,4,NA,3.5,3,NA,4.5,4,5,NA,3,4,5,NA,4.5,NA,NA,NA,4,NA,NA,3.5,4,5,5,3,5,3,5,NA,NA,NA,4,NA,5,4,NA,NA,NA,4,4,NA,NA,4,5,NA,NA,4,4,NA,NA,3.5,4.5,4,NA,NA,NA,5,3,5,4.5,NA,4,4,5,NA,4,5,2,4,4,5,3.5,NA,4,3,4,4.5,NA,NA,5,2.5,NA,3,NA,4,NA,NA,NA,NA,4,5,5,3.5,NA,4,3.5,4,NA,5,NA,4,NA,NA,3.5,4,2,NA,5,3.5,3.5,5,3,4,4.5,4,5,3.5,NA,NA,NA,3,NA,NA,NA,4,3,3.5,3.5,NA,4,NA,NA,5,NA,3,NA,NA,3.5,NA,3,4.5,3,3,4,NA,3.5,4.5
"Usual Suspects, The (1995)",5,1,4.5,NA,4.5,5,NA,NA,3.5,5,5,5,5,5,NA,5,3,4,3,4.5,NA,4,NA,4.5,5,4,5,4,5,NA,4,5,4,NA,NA,3,NA,NA,4,4,5,NA,4,4.5,NA,4.5,NA,4.5,5,5,4,NA,NA,4,NA,3,5,5,NA,NA,NA,4,4.5,5,4,4.5,NA,4,4,4,3.5,4.5,NA,NA,3.5,NA,5,4.5,2.5,5,4,5,NA,4,4,5,4,NA,NA,5,4.5,5,3.5,4,4.5,5,NA,4,4.5,5,3,4.5,4,NA,5,4.5,4.5,NA,3,NA,NA,4,NA,5,3.5,NA,4,3,4,NA,3.5,4.5,NA,NA,NA,4.5,2,4.5,NA,NA,5,NA,4,4.5,4,NA,5,NA,5,NA,4.5,4.5,NA,3.5,5,3.5,NA,5,NA,4.5,NA,4.5,4
